s2	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10	iter11	iter12	iter13	iter14	iter15	iter16	iter17	iter18	iter19	iter20
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	18867.0	14905.0	14458.0
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	354.0	22063.0	22621.0	20027.0
2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	6393.0	17955.0	20485.0	18585.0
3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	644.0	20907.0	17622.0	18075.0	17203.0
4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	7951.0	17845.0	16921.0	17119.0	16898.0
5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	551.0	22430.0	16237.0	17323.0	17129.0	15559.0
6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	6623.0	18824.0	15098.0	16610.0	15921.0	15661.0
7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	22216.0	18692.0	16018.0	16552.0	15807.0	16626.0
8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	691.0	24983.0	18332.0	16815.0	15242.0	16045.0	15826.0
9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4723.0	21294.0	19166.0	18346.0	15270.0	15726.0	15863.0
10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	14172.0	21674.0	18422.0	18019.0	14483.0	15088.0	15693.0
11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158.0	14819.0	22810.0	17402.0	18606.0	15458.0	14245.0	14581.0
12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2422.0	17907.0	21795.0	17412.0	17833.0	16552.0	13301.0	14547.0
13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10183.0	17144.0	22022.0	17698.0	18593.0	16848.0	13415.0	14640.0
14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	19733.0	16873.0	21127.0	17912.0	18944.0	15707.0	13911.0	14918.0
15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	241.0	16632.0	17481.0	20455.0	17263.0	18786.0	15556.0	14168.0	15317.0
16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2532.0	18823.0	17752.0	20735.0	16988.0	19216.0	15611.0	14231.0	16199.0
17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	9464.0	18818.0	17295.0	20163.0	16910.0	18207.0	15146.0	13968.0	16703.0
18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	16785.0	19059.0	17271.0	20196.0	16715.0	17431.0	15048.0	13957.0	16899.0
19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	634.0	13930.0	18770.0	17625.0	19640.0	16462.0	16628.0	14866.0	13619.0	16866.0
20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5949.0	15207.0	17949.0	17146.0	19009.0	17114.0	16789.0	14719.0	13773.0	15470.0
21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	22312.0	15199.0	17685.0	17443.0	18791.0	17615.0	16310.0	15251.0	13901.0	15435.0
22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	36295.0	15027.0	17844.0	17201.0	18354.0	17414.0	16336.0	14807.0	13640.0	15462.0
23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	368.0	27092.0	14914.0	18198.0	17326.0	17744.0	17222.0	16493.0	13898.0	13332.0	15321.0
24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3259.0	24722.0	15141.0	18979.0	16403.0	17949.0	17282.0	16153.0	13655.0	13389.0	15279.0
25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	11925.0	24044.0	15596.0	19271.0	16783.0	17490.0	17290.0	16513.0	13723.0	13392.0	14428.0
26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.0	22324.0	23611.0	16192.0	19275.0	17214.0	17013.0	16566.0	16877.0	13262.0	13603.0	15632.0
27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	664.0	20983.0	22187.0	16364.0	19271.0	17472.0	17806.0	15666.0	16808.0	13092.0	13450.0	15285.0
28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5219.0	22371.0	22083.0	17152.0	19694.0	17083.0	17597.0	14970.0	16668.0	12887.0	13711.0	15554.0
29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	18676.0	22522.0	22533.0	17965.0	20116.0	17244.0	16989.0	14356.0	16483.0	12501.0	13553.0	15747.0
30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	197.0	32372.0	23066.0	21538.0	18201.0	19923.0	17452.0	16376.0	14453.0	15496.0	12513.0	13709.0	16652.0
31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1807.0	27278.0	22182.0	21258.0	18916.0	20290.0	16768.0	16188.0	14080.0	14301.0	12214.0	13395.0	16401.0
32.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	7850.0	26357.0	22143.0	21290.0	18891.0	19705.0	16372.0	16937.0	14088.0	14546.0	12697.0	13530.0	16278.0
33.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	19669.0	26545.0	21589.0	21071.0	20189.0	20441.0	16660.0	16776.0	14612.0	14199.0	12407.0	13389.0	16117.0
34.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	24769.0	27026.0	21806.0	20936.0	20483.0	20401.0	16939.0	15128.0	14489.0	14180.0	12617.0	12973.0	15716.0
35.0	0.0	0.0	0.0	0.0	0.0	0.0	967.0	27258.0	27565.0	20914.0	21053.0	20811.0	20432.0	17387.0	14339.0	15361.0	14022.0	13389.0	12860.0	16065.0
36.0	0.0	0.0	0.0	0.0	0.0	0.0	7854.0	27479.0	28389.0	20091.0	21752.0	21062.0	20370.0	17925.0	13099.0	15042.0	13761.0	14064.0	12708.0	15440.0
37.0	0.0	0.0	0.0	0.0	0.0	9.0	23337.0	27511.0	29455.0	18458.0	22275.0	21072.0	20339.0	17727.0	12713.0	14667.0	13720.0	13598.0	13169.0	14745.0
38.0	0.0	0.0	0.0	0.0	0.0	168.0	37895.0	28208.0	28984.0	17545.0	22944.0	21930.0	20352.0	17321.0	13048.0	14358.0	14214.0	13706.0	13640.0	14544.0
39.0	0.0	0.0	0.0	0.0	0.0	926.0	32644.0	28083.0	29043.0	18058.0	22374.0	23059.0	19886.0	17587.0	13262.0	14670.0	13616.0	14009.0	13763.0	13535.0
40.0	0.0	0.0	0.0	0.0	0.0	6636.0	37710.0	28631.0	29153.0	18398.0	21017.0	23401.0	19427.0	18320.0	13337.0	14265.0	13547.0	14974.0	14271.0	13178.0
41.0	0.0	0.0	0.0	0.0	59.0	24207.0	37504.0	29813.0	29256.0	19029.0	20410.0	23667.0	18596.0	17905.0	13069.0	13085.0	13946.0	14160.0	14263.0	13235.0
42.0	0.0	0.0	0.0	0.0	646.0	43713.0	36115.0	31209.0	28138.0	20515.0	20856.0	22488.0	18214.0	17934.0	13118.0	13096.0	13080.0	15123.0	14285.0	13290.0
