E	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
-128.0	0.0	0.0	0.0	1778.0	91200.0	107631.0	106712.0	102577.0	101172.0	93848.0
-124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-120.0	0.0	0.0	0.0	115686.0	92891.0	100828.0	105921.0	106970.0	99676.0	95787.0
-116.0	0.0	0.0	2.0	110626.0	99931.0	94634.0	108766.0	108589.0	97864.0	96797.0
-112.0	0.0	0.0	37.0	112330.0	95408.0	101166.0	103707.0	104959.0	103719.0	95503.0
-108.0	0.0	0.0	130.0	121159.0	97161.0	99078.0	106842.0	102026.0	103474.0	95812.0
-104.0	0.0	0.0	1157.0	112875.0	95415.0	98904.0	107223.0	103318.0	100215.0	97536.0
-100.0	0.0	0.0	5697.0	111342.0	92938.0	103698.0	105197.0	103317.0	103282.0	94301.0
-96.0	0.0	0.0	33992.0	109612.0	94154.0	103869.0	106085.0	101658.0	104158.0	94824.0
-92.0	0.0	1.0	179119.0	104662.0	97421.0	104215.0	106384.0	101417.0	100547.0	97092.0
-88.0	0.0	10.0	94865.0	109479.0	95461.0	104283.0	103498.0	102636.0	100916.0	95210.0
-84.0	0.0	35.0	141514.0	107603.0	95564.0	107839.0	99460.0	105427.0	101138.0	93681.0
-80.0	0.0	214.0	118963.0	107417.0	98037.0	105798.0	101196.0	102861.0	101305.0	94725.0
-76.0	0.0	1072.0	120983.0	106009.0	99904.0	106555.0	99875.0	100109.0	104868.0	94196.0
-72.0	0.0	5347.0	124876.0	105465.0	99404.0	104361.0	101169.0	98524.0	103891.0	96238.0
-68.0	0.0	25317.0	130702.0	103449.0	104463.0	100400.0	101592.0	99584.0	103526.0	95923.0
-64.0	0.0	122255.0	130750.0	101984.0	103012.0	101897.0	102413.0	99233.0	100167.0	99403.0
-60.0	3.0	185781.0	130267.0	100015.0	105628.0	101017.0	103052.0	97580.0	100180.0	101403.0
-56.0	5.0	482192.0	129601.0	100288.0	107317.0	98465.0	105138.0	97803.0	99297.0	101062.0
-52.0	58.0	169524.0	126660.0	100340.0	107105.0	102390.0	101251.0	100301.0	98108.0	100454.0
-48.0	196.0	189126.0	127872.0	99268.0	105644.0	102451.0	102514.0	101430.0	99816.0	97985.0
-44.0	730.0	175949.0	130221.0	97660.0	103849.0	104367.0	103209.0	100405.0	102121.0	97107.0
-40.0	2110.0	195206.0	133457.0	96513.0	103729.0	102667.0	104113.0	101216.0	102148.0	95767.0
-36.0	6164.0	198145.0	131099.0	97019.0	105021.0	102524.0	103888.0	100874.0	102046.0	96967.0
-32.0	16673.0	196229.0	131950.0	98000.0	103930.0	102309.0	102507.0	102895.0	100007.0	101584.0
