E	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
-128.0	0.0	0.0	0.0	-7.48324441607385	-18.904054592136273	-30.4905185814413	-42.068407477262184	-53.606776492310836	-65.13135381002151	-76.58078554120706
-124.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-120.0	0.0	0.0	0.0	-11.658634903267451	-23.09781694501254	-34.61898831883662	-46.189437131050504	-57.76974083135068	-69.27942103615588	-80.74930329153315
-116.0	0.0	0.0	-0.6931471805599453	-12.307057602377343	-23.81929282918801	-35.27706492769021	-46.87401899225589	-58.46934438447333	-69.96067842320008	-81.44104970424895
-112.0	0.0	0.0	-3.6109179126442243	-15.24011415927984	-26.706031870642725	-38.23054988164876	-49.779874775999	-61.341199852692505	-72.89064045095655	-84.35755339054454
-108.0	0.0	0.0	-4.867534450455582	-16.572393462013668	-28.05651813737817	-39.56018083506921	-51.13928722169858	-62.672270183443786	-74.21934583584394	-85.68948905291873
-104.0	0.0	0.0	-7.053585727193677	-18.687622017912965	-30.153613095693977	-41.65551805738074	-53.23818411422535	-64.78375100391133	-76.29882416093902	-87.78680098054528
-100.0	0.0	0.0	-8.647694999480395	-20.26805682405279	-31.707744707200476	-43.25698281482902	-54.82057287659788	-66.36613008738146	-77.91134847754796	-89.36559555056715
-96.0	0.0	0.0	-10.433880481794647	-22.038582618348308	-33.49126963692677	-45.042155405683395	-56.61415134423061	-68.14352086161678	-79.69718511764594	-91.15696293840529
-92.0	0.0	0.0	-12.095805668407566	-23.6542970576486	-35.14109412978913	-46.6953054816649	-58.27011595030714	-69.79711195925415	-81.31549251810732	-92.79890677970316
-88.0	0.0	-2.302585092994046	-13.762795200292281	-25.366283229316764	-36.83275629541365	-48.38761993174693	-59.93492749957629	-71.47387152694508	-82.99591529355983	-94.45975555083957
-84.0	0.0	-3.5553480614894135	-15.41550199258994	-27.001705799951985	-38.469257259033895	-50.05765191214	-61.56516274440873	-73.13093679367589	-84.65517799354444	-96.10282866639614
-80.0	0.0	-5.365976015021851	-17.052543814398767	-28.637017549708037	-40.1301177871267	-51.69940468176268	-63.22421919112532	-74.76535303235914	-86.29124407971939	-97.74997731560619
-76.0	0.0	-6.977281341630747	-18.680686660471387	-30.251965935621687	-41.76393093949679	-53.340347502248214	-64.85202218531678	-76.36603705666833	-87.92649475208388	-99.37962774890175
