S_N	iter1	iter2	iter3	iter4	iter5	iter6	iter7	iter8	iter9	iter10
-99.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-98.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-97.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-96.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-95.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-94.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-93.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
-92.5	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
-91.5	0.0	0.0	0.0	0.0	96.0	38.0	99.0	119.0	85.0	18.0
-90.5	0.0	0.0	0.0	0.0	1994.0	1289.0	1589.0	998.0	1631.0	352.0
-89.5	0.0	0.0	0.0	0.0	41308.0	25882.0	30721.0	19194.0	28647.0	5198.0
-88.5	0.0	0.0	0.0	0.0	101862.0	26587.0	28963.0	20455.0	28469.0	5826.0
-87.5	0.0	0.0	0.0	0.0	246298.0	25125.0	30136.0	19933.0	30992.0	6181.0
-86.5	0.0	0.0	0.0	0.0	581953.0	24493.0	29649.0	19648.0	33508.0	6296.0
-85.5	0.0	0.0	0.0	0.0	1.372849e6	26103.0	26628.0	21249.0	32668.0	6198.0
-84.5	0.0	0.0	0.0	39.0	82510.0	25394.0	26717.0	21790.0	32615.0	6514.0
-83.5	0.0	0.0	0.0	302.0	24633.0	24768.0	27981.0	21287.0	33222.0	6123.0
-82.5	0.0	0.0	0.0	836.0	20330.0	25394.0	27264.0	20810.0	32289.0	6031.0
-81.5	0.0	0.0	0.0	1999.0	19668.0	25641.0	26734.0	19881.0	32023.0	6029.0
-80.5	0.0	0.0	0.0	5090.0	17896.0	24412.0	25443.0	21966.0	30655.0	5521.0
-79.5	0.0	0.0	0.0	10247.0	18119.0	25910.0	25416.0	22702.0	29840.0	4657.0
-78.5	0.0	0.0	0.0	23149.0	17302.0	25379.0	27325.0	21070.0	33021.0	4071.0
-77.5	0.0	0.0	0.0	51409.0	16388.0	26749.0	27052.0	20538.0	36664.0	3562.0
-76.5	0.0	0.0	2.0	55014.0	18493.0	24663.0	25602.0	22316.0	36513.0	3458.0
-75.5	0.0	0.0	44.0	5137.0	19372.0	23843.0	26420.0	21305.0	38208.0	3213.0
-74.5	0.0	0.0	109.0	4487.0	17838.0	23635.0	29173.0	21598.0	34690.0	2885.0
-73.5	0.0	0.0	106.0	10000.0	17283.0	22034.0	31938.0	21405.0	33939.0	3087.0
-72.5	0.0	0.0	127.0	18505.0	15725.0	21308.0	31572.0	21316.0	36340.0	3642.0
