E	parallel tempering	Wang-Landau	REWL	exact
-800.0	-274.53741725983105	-273.9226875305176	-273.592960357666	-273.6923423330648
-792.0	-268.5429318747457	-267.87640953063965	-267.62384033203125	-267.70087778595683
-788.0	-267.72896973583727	-267.1951484680176	-266.95406341552734	-267.0077306053969
-784.0	-263.1940022732599	-262.515417098999	-262.2742977142334	-262.380309810474
-780.0	-261.87445155891226	-261.132869720459	-260.88429069519043	-261.00137744579513
-776.0	-258.30195215570245	-257.4833469390869	-257.35386848449707	-257.4153984814982
-772.0	-256.5674151562256	-255.7379150390625	-255.58868408203125	-255.66600873148676
-768.0	-253.48696575380745	-252.72878646850586	-252.6360855102539	-252.66875259438476
-764.0	-251.48536523122948	-250.79334259033203	-250.65142059326172	-250.70514524977682
-760.0	-248.87295954304	-248.16226959228516	-248.02574729919434	-248.06937492526436
-756.0	-246.83667889004516	-246.10476684570312	-245.96284866333008	-245.99390278367997
-752.0	-244.50920197692074	-243.70136260986328	-243.5349884033203	-243.58236223068377
-748.0	-242.26513539211862	-241.5800838470459	-241.4268627166748	-241.46297740184156
-744.0	-240.12561161010387	-239.29626083374023	-239.184814453125	-239.19161833899383
-740.0	-237.95260284482526	-237.1819725036621	-237.0362491607666	-237.06933129852564
-736.0	-235.7477072184157	-235.00215530395508	-234.87738609313965	-234.8885215700073
-732.0	-233.51473005924754	-232.88531494140625	-232.78334617614746	-232.78482495694738
-728.0	-231.53418164915672	-230.76663780212402	-230.65483474731445	-230.66632070807867
-724.0	-229.40126151538834	-228.67238426208496	-228.6127700805664	-228.59045827411214
-720.0	-227.43728387965996	-226.6114330291748	-226.547025680542	-226.51840963398922
-716.0	-225.2958241132502	-224.52914810180664	-224.51022338867188	-224.4729535601121
-712.0	-223.27102616186073	-222.50923347473145	-222.47710418701172	-222.43825068578178
-708.0	-221.30622544064363	-220.4748134613037	-220.44476509094238	-220.4226178358986
-704.0	-219.32374886289426	-218.4789924621582	-218.45163536071777	-218.4196607909791
-700.0	-217.3550244283308	-216.49252891540527	-216.45837020874023	-216.43202074490264
-696.0	-215.38657329380123	-214.50747108459473	-214.47611618041992	-214.45701520995934
-692.0	-213.34353103094088	-212.5528964996338	-212.52127265930176	-212.49520114041792
-688.0	-211.50424962310512	-210.61999702453613	-210.57184410095215	-210.54531074335614
-684.0	-209.58330172591275	-208.67409133911133	-208.6119441986084	-208.60719951370254
-680.0	-207.6850397574524	-206.76066398620605	-206.69743728637695	-206.68013761756376
