E	Sunny	MCX bridge	MCX native	exact
-800.0	-276.5027807308407	-276.66693304897836	-276.5747726728942	-276.3690843845875
-792.0	-270.5109242103836	-270.6221531393474	-270.62817976154093	-270.37761983747953
-788.0	-269.9851972756415	-270.02739888759567	-269.862649009648	-269.6844726569196
-784.0	-265.20783540099825	-265.26143070673555	-265.23009526015204	-265.0570518619967
-780.0	-263.7987340061782	-263.7777562466684	-263.9707778672402	-263.6781194973178
-776.0	-260.21345022104384	-260.39403615991006	-260.36971047147864	-260.0921405330209
-772.0	-258.35337742360304	-258.6320581876991	-258.57569393457555	-258.3427507830095
-768.0	-255.51035121692718	-255.54521207864735	-255.58218961685196	-255.34549464590745
-764.0	-253.4729173555798	-253.48485937885147	-253.60754142829848	-253.3818873012995
-760.0	-250.91646762624902	-250.89557806819795	-250.93209813708125	-250.74611697678705
-756.0	-248.68040032236337	-248.90344910299876	-248.8996271292371	-248.67064483520267
-752.0	-246.41664611124457	-246.43958664318262	-246.5541000560491	-246.25910428220647
-748.0	-244.28555842262455	-244.35225394689274	-244.47585006843536	-244.13971945336425
-744.0	-241.953201449117	-241.99927082579217	-242.03585136218834	-241.86836039051653
-740.0	-239.8917756778947	-239.93249115724603	-239.89202101043014	-239.74607335004833
-736.0	-237.75368017716124	-237.75183535707612	-237.77171051193312	-237.56526362153
-732.0	-235.53531979470887	-235.617438446241	-235.59943676573204	-235.46156700847007
-728.0	-233.40463917467883	-233.43832990177447	-233.5366733898955	-233.34306275960137
-724.0	-231.41986454849126	-231.28913641572518	-231.47707518118824	-231.26720032563483
-720.0	-229.32159211805725	-229.33284636260538	-229.37944394557377	-229.19515168551192
-716.0	-227.2495163370159	-227.27159607890263	-227.50477024115395	-227.1496956116348
-712.0	-225.09434908863938	-225.26706708438547	-225.3940582306622	-225.11499273730448
-708.0	-223.25914471871243	-223.20078088967398	-223.46815489916156	-223.0993598874213
-704.0	-221.12877939363995	-221.14048668180374	-221.33055900186525	-221.0964028425018
-700.0	-219.4168456666785	-219.36315374324647	-219.49394895063125	-219.10876279642534
-696.0	-217.31897832687997	-217.3432654570683	-217.3899170254001	-217.13375726148203
-692.0	-215.15236427003862	-215.25826859924467	-215.33945096276648	-215.1719431919406
-688.0	-213.25661933044927	-213.26215468609172	-213.6427570242318	-213.22205279487883
-684.0	-211.32419074554224	-211.4717415662417	-211.3920971632043	-211.28394156522523
-680.0	-209.4481985486246	-209.50043624701254	-209.4421298711058	-209.35687966908645
-676.0	-207.52700902739622	-207.4458057580734	-207.66920745442337	-207.44052168563377
-672.0	-205.71452443569166	-205.63144189473542	-205.97862690173366	-205.5343536710472
-668.0	-203.87856473727612	-203.7234353644647	-203.99459319697456	-203.63799775309346
-664.0	-201.88752164620843	-201.9053256520471	-202.1639558455675	-201.75103971317566
-660.0	-199.95041490696627	-199.87650050885048	-200.0866668702434	-199.87311991463298
-656.0	-198.20437873620273	-198.10727504987744	-198.06916315044577	-198.00388094664038
-652.0	-196.1496770422064	-196.38233444111694	-196.6177650190594	-196.1429929678444
-648.0	-194.43311465123867	-194.2792996399108	-194.68471016334053	-194.2901377756673
-644.0	-192.63094611001458	-192.3821969310515	-192.55352155736438	-192.44501495427295
-640.0	-190.82505247418618	-190.94678798524603	-190.92858275440517	-190.60733663682083
-636.0	-189.05994783125522	-188.95247291387903	-188.95864825276567	-188.7768283375031
-632.0	-187.07386900433363	-187.06854722708363	-187.16125996382948	-186.9532267929592
-628.0	-185.21523477198667	-185.15081020959371	-185.31539583767199	-185.13627943673697
-624.0	-183.14940266736545	-183.58354312586545	-183.76654930698908	-183.32574314305594
-620.0	-181.65066911405034	-181.52594693817286	-181.6509731509928	-181.52138341957297
-616.0	-179.76085286074255	-179.69199987019334	-179.98980527892934	-179.7229734583417
-612.0	-178.06141062432022	-178.05490983380525	-178.0417890707016	-177.93029334155426
-608.0	-176.26455705266295	-176.17796532121594	-176.27042525524075	-176.14312926981455
-604.0	-174.87648111505138	-174.33734822415198	-174.8167679690884	-174.3612728985267
-600.0	-172.8959165535244	-172.48632935250413	-172.61077445671566	-172.58452077123198
-596.0	-171.09288522279263	-170.9604826750708	-171.07157951810728	-170.81267389320118
-592.0	-169.09437024133246	-169.1410659301917	-169.23539695891026	-169.04553746963555
-588.0	-167.33167688763666	-167.25535483290798	-167.76053074160876	-167.2829208466914
-584.0	-165.55671625474957	-165.64779864792337	-165.6612758722511	-165.5246376891168
-580.0	-164.00084320933553	-163.9219744688241	-163.92561878360704	-163.77050642854635
-576.0	-162.3089817970004	-162.0345023285301	-162.25826811659363	-162.02035100988414
-572.0	-160.3179196124084	-160.25542158856405	-160.39817208099413	-160.2740019543093
-568.0	-158.43710744970036	-158.42491347265297	-158.7037654192859	-158.53129774378272
-564.0	-157.14883088307857	-156.69557227062614	-157.2803001620303	-156.79208651474232
-560.0	-155.44772219813336	-155.10234153712832	-155.4341153177906	-155.05622802815185
-556.0	-153.48556048882625	-153.20171313229656	-153.6796720762597	-153.323595860637
-552.0	-151.86928963376437	-151.6270763798675	-151.57349125218315	-151.5940797387719
-548.0	-150.0317700090646	-149.7390771477012	-150.22146802915677	-149.86758791791877
-544.0	-148.12703298357252	-147.93327915653316	-148.38559694971963	-148.14404949081913
