E	Sunny	MCX bridge	MCX native	exact
-800.0	-274.61567878723145	-273.9226875305176	-273.74684715270996	-273.6923423330648
-792.0	-267.66975021362305	-267.87640953063965	-267.76691818237305	-267.70087778595683
-788.0	-266.9756050109863	-267.1951484680176	-267.0645275115967	-267.0077306053969
-784.0	-262.32112312316895	-262.515417098999	-262.4303455352783	-262.380309810474
-780.0	-260.93890953063965	-261.132869720459	-261.04263496398926	-261.00137744579513
-776.0	-257.3209819793701	-257.4833469390869	-257.46138763427734	-257.4153984814982
-772.0	-255.55351448059082	-255.7379150390625	-255.70906829833984	-255.66600873148676
-768.0	-252.58185577392578	-252.72878646850586	-252.69521713256836	-252.66875259438476
-764.0	-250.59746551513672	-250.79334259033203	-250.77101135253906	-250.70514524977682
-760.0	-247.98127937316895	-248.16226959228516	-248.13214492797852	-248.06937492526436
-756.0	-245.91510772705078	-246.10476684570312	-246.07428550720215	-245.99390278367997
-752.0	-243.51086807250977	-243.70136260986328	-243.64718437194824	-243.58236223068377
-748.0	-241.42547607421875	-241.5800838470459	-241.52773094177246	-241.46297740184156
-744.0	-239.11882400512695	-239.29626083374023	-239.24824142456055	-239.19161833899383
-740.0	-237.03052711486816	-237.1819725036621	-237.13104629516602	-237.06933129852564
-736.0	-234.8289089202881	-235.00215530395508	-234.95882606506348	-234.8885215700073
-732.0	-232.73315048217773	-232.88531494140625	-232.88570594787598	-232.78482495694738
-728.0	-230.6124782562256	-230.76663780212402	-230.74776649475098	-230.66632070807867
-724.0	-228.5360336303711	-228.67238426208496	-228.658447265625	-228.59045827411214
-720.0	-226.4648036956787	-226.6114330291748	-226.5880126953125	-226.51840963398922
-716.0	-224.42364501953125	-224.52914810180664	-224.54134559631348	-224.4729535601121
-712.0	-222.37306594848633	-222.50923347473145	-222.5248565673828	-222.43825068578178
-708.0	-220.3565444946289	-220.4748134613037	-220.5010280609131	-220.4226178358986
-704.0	-218.34000968933105	-218.4789924621582	-218.50389099121094	-218.4196607909791
-700.0	-216.35938262939453	-216.49252891540527	-216.50914001464844	-216.43202074490264
-696.0	-214.40486335754395	-214.50747108459473	-214.5452175140381	-214.45701520995934
-692.0	-212.4349822998047	-212.5528964996338	-212.58102416992188	-212.49520114041792
-688.0	-210.50911903381348	-210.61999702453613	-210.62159729003906	-210.54531074335614
-684.0	-208.56377410888672	-208.67409133911133	-208.67754936218262	-208.60719951370254
-680.0	-206.65370559692383	-206.76066398620605	-206.74073600769043	-206.68013761756376
-676.0	-204.73622512817383	-204.83124923706055	-204.83342170715332	-204.76377963411107
-672.0	-202.8183708190918	-202.92884063720703	-202.92509269714355	-202.8576116195245
